GAS_ZONES,LNG_liquefaction_predet_build_year,LNG_liquefaction_predet_cap,LNG_liquefaction_removed_cap,LNG_liquefaction_total_cap
NE,1987,0,0,5760
NE,1988,0,0,5760
NE,1989,0,0,5760
NE,1990,0,0,5760
NE,1991,0,0,5760
NE,1992,0,0,5760
NE,1993,0,0,5760
NE,1994,0,0,5760
NE,1995,0,0,5760
NE,1996,0,0,5760
NE,1997,0,0,5760
NE,1998,0,0,5760
NE,1999,0,0,5760
NE,2000,0,0,5760
NE,2001,0,0,5760
NH,1965,0,0,0
NH,1966,0,0,0
NH,1967,0,0,0
NH,1968,0,0,0
NH,1969,0,0,0
NH,1970,0,0,0
NH,1971,0,0,0
NH,1972,0,0,0
NH,1973,0,0,0
NH,1974,0,0,0
NH,1975,0,0,0
NH,1976,0,0,0
NH,1977,0,0,0
NH,1978,0,0,0
NH,1979,0,0,0
NH,1980,0,0,0
NH,1981,0,0,0
NH,1982,0,0,0
NH,1983,0,0,0
NH,1984,0,0,0
NH,1985,0,0,0
NH,1986,0,0,0
NH,1987,0,0,0
NH,1988,0,0,0
NH,1989,0,0,0
NH,1990,0,0,0
NH,1991,0,0,0
NH,1992,0,0,0
NH,1993,0,0,0
NH,1994,0,0,0
NH,1995,0,0,0
NH,1996,0,0,0
NH,1997,0,0,0
NH,1998,0,0,0
NH,1999,0,0,0
NH,2000,0,0,0
NH,2001,0,0,0
NJ,1965,9600,0,9600
NJ,1966,0,0,9600
NJ,1967,0,0,9600
NJ,1968,0,0,9600
NJ,1969,0,0,9600
NJ,1970,0,0,9600
NJ,1971,0,0,9600
NJ,1972,0,0,9600
NJ,1973,0,0,9600
NJ,1974,0,0,9600
NJ,1975,0,0,9600
NJ,1976,0,0,9600
NJ,1977,0,0,9600
NJ,1978,0,0,9600
NJ,1979,0,0,9600
